Reference_number,Total_LAI,Method,PFT,Vegetation_status,Dominant_species,Country,Latitude,Longitude,MAT_(Literature value),MAP_(Literature value),Potentially_erroneous_data,gauci_biome,pft_step,species_step,climate_step,spatial_step,LAI,LAI_numeric,q1,q3,iqr,lower_bound,upper_bound,is_outlier,outlier_type
514,7.1,D,EB,Natural,"Dacrydium sp., Tristania sp., et al.",Cambodia,10.93333333,103.4,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Tropical & Subtropical Moist Broadleaf Forests,7.1,7.1,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
515,5.3,D,Mix,Natural,"Quercus robur, Ilex aquifolium",UK,50.83333333,-1.583333333,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,5.3,5.3,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
515,4.9,D,Mix,Natural,"Quercus robur, Fagus sylvatica, Ilex aquifolium",UK,50.83333333,-1.583333333,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,4.9,4.9,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
515,5.7,D,DB,Natural,"Fagus sylvatica, Quercus robur, Ilex aquifolium",UK,50.83333333,-1.583333333,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,5.7,5.7,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
515,5.6,D,EB,Natural,Ilex aquifolium,UK,50.83333333,-1.583333333,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,5.6,5.6,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
515,6.6,D,EB,Natural,Ilex aquifolium,UK,50.83333333,-1.583333333,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,6.6,6.6,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
517,3.6,D,DB,Natural,"Alnus glutinosa, Betulab pendula",UK,54.66666667,-1.333333333,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,3.6,3.6,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
518,5.58,D,DB,Natural,Castanea sativa,UK,51.08333333,0.916666667,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,5.58,5.58,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
519,10.47,D,EC,Plantation,Picea sitchensis,UK,55.31666667,-3.55,NA,NA,NA,Temperate Conifer Forests,Temperate Conifer Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,10.47,10.47,3.3125,7.59,4.2775,-3.10375,14.00625,FALSE,Within IQR
520,6.5,D,DB,Not described,Alnus rubra,USA,45,-124,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Conifer Forests,6.5,6.5,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
521,7,D,DB,Natural,Liriodendron tulipifera,USA,35.91666667,-84.28333333,13.3,1265,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,7,7,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
521,7.1,D,DB,Natural,Liriodendron tulipifera,USA,35.91666667,-84.28333333,13.3,1265,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,7.1,7.1,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
522,4.8,D,DB,Not described,"Quercus stellata, Quercus marilandica",USA,35.25,-97.33333333,NA,862,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,"Temperate Grasslands, Savannas &Shrublands",4.8,4.8,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
523,4,D,DB,Not described,Quercus alba,USA,33.95,-83.4,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,4,4,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
